code,name,low_200,high_200,ma5_ref,ma20_ref,last_update
1101,台泥,20.4,35.25,21.12,21.4625,2025-11-27
1102,亞泥,35.45,47.25,37.839999999999996,36.93999999999999,2025-11-27
1103,嘉泥,12.85,17.4,13.65,13.337499999999997,2025-11-27
1104,環泥,25.9,32.75,31.109999999999996,30.784999999999997,2025-11-27
1108,幸福,12.75,15.55,14.99,14.962499999999997,2025-11-27
1109,信大,15.35,18.05,15.5,15.51,2025-11-27
1110,東泥,16.15,20.95,16.58,16.5925,2025-11-27
1201,味全,14.8,18.15,14.88,15.0,2025-11-27
1203,味王,34.9,42.0,39.730000000000004,39.565,2025-11-27
1210,大成,51.0,66.2,51.68000000000001,52.46,2025-11-27
1213,大飲,10.0,16.9,10.08,10.514999999999999,2025-11-27
1215,卜蜂,93.0,146.0,138.7,137.75,2025-11-27
1216,統一,74.5,87.0,74.96000000000001,76.10000000000001,2025-11-27
1217,愛之味,10.1,12.3,10.270000000000001,10.2375,2025-11-27
1218,泰山,17.95,22.65,18.09,18.235,2025-11-27
1219,福壽,12.85,16.55,13.579999999999998,13.600000000000003,2025-11-27
1220,台榮,12.35,17.45,12.430000000000001,12.694999999999999,2025-11-27
1227,佳格,30.1,38.0,30.589999999999996,30.822499999999998,2025-11-27
1229,聯華,41.65,53.3,47.730000000000004,47.957499999999996,2025-11-27
1231,聯華食,93.2,178.0,97.47999999999999,101.46000000000001,2025-11-27
1232,大統益,143.0,165.0,144.3,144.05,2025-11-27
1233,天仁,29.95,36.1,31.139999999999997,30.8825,2025-11-27
1234,黑松,36.8,42.35,37.7,37.3375,2025-11-27
1235,興泰,46.55,108.0,47.94,49.1,2025-11-27
1236,宏亞,20.25,27.45,24.589999999999996,25.300000000000004,2025-11-27
1256,鮮活果汁-KY,103.0,182.0,135.4,143.625,2025-11-27
1301,台塑,31.65,43.1,40.04,39.787499999999994,2025-11-27
1303,南亞,26.65,57.3,53.48,48.705,2025-11-27
1304,台聚,8.9,12.8,10.25,10.5125,2025-11-27
1305,華夏,9.41,13.95,10.55,11.05,2025-11-27
1307,三芳,29.4,53.8,33.42999999999999,32.43749999999999,2025-11-27
1308,亞聚,10.85,15.25,12.35,12.5675,2025-11-27
1309,台達化,9.96,15.5,10.64,10.8,2025-11-27
1310,台苯,7.42,10.75,8.464000000000002,8.636000000000001,2025-11-27
1312,國喬,8.37,12.7,10.34,10.4075,2025-11-27
1313,聯成,7.27,11.05,9.569999999999999,10.023500000000002,2025-11-27
1314,中石化,6.07,9.75,8.186,8.4155,2025-11-27
1315,達新,63.8,70.3,64.75999999999999,64.405,2025-11-27
1316,上曜,12.8,19.45,14.5,14.965,2025-11-27
1319,東陽,90.9,141.0,96.7,97.515,2025-11-27
1321,大洋,31.9,38.1,35.9,35.8925,2025-11-27
1323,永裕,18.15,25.1,19.610000000000003,19.630000000000003,2025-11-27
1324,地球,10.45,12.95,10.51,10.6325,2025-11-27
1325,恆大,20.55,41.5,31.830000000000002,30.945000000000004,2025-11-27
1326,台化,22.15,35.6,31.880000000000003,31.095000000000006,2025-11-27
1338,廣華-KY,20.0,30.65,20.46,20.754999999999995,2025-11-27
1339,昭輝,41.0,59.6,45.06,44.43999999999999,2025-11-27
1340,勝悅-KY,5.49,9.3,7.228,6.785500000000001,2025-11-27
1341,富林-KY,55.5,74.7,58.620000000000005,59.125,2025-11-27
1342,八貫,77.5,113.0,84.44,83.785,2025-11-27
1402,遠東新,26.5,35.3,28.060000000000002,27.4275,2025-11-27
1409,新纖,11.0,17.8,15.52,14.650000000000002,2025-11-27
1410,南染,30.5,40.05,34.510000000000005,34.4175,2025-11-27
1413,宏洲,9.99,12.5,10.07,10.1065,2025-11-27
1414,東和,14.95,25.6,17.090000000000003,17.43,2025-11-27
1418,東華,19.95,27.35,20.14,20.250000000000004,2025-11-27
1419,新紡,38.2,81.7,70.1,62.58999999999999,2025-11-27
1423,利華,32.1,39.65,38.82,38.612500000000004,2025-11-27
1432,大魯閣,14.3,22.3,17.69,17.445,2025-11-27
1434,福懋,14.6,19.75,15.719999999999999,15.489999999999998,2025-11-27
1436,華友聯,60.4,143.5,61.48,62.56500000000001,2025-11-27
1437,勤益控,28.8,35.25,32.129999999999995,31.445000000000004,2025-11-27
1438,三地開發,32.95,56.1,33.6,34.775,2025-11-27
1439,雋揚,26.7,33.4,26.98,27.28,2025-11-27
1440,南紡,10.55,14.95,13.76,13.55,2025-11-27
1441,大東,10.7,14.7,10.809999999999999,10.829999999999998,2025-11-27
1442,名軒,30.8,86.7,31.82,33.2225,2025-11-27
1443,立益物流,26.65,32.25,27.339999999999996,27.525,2025-11-27
1444,力麗,5.99,8.73,6.034000000000001,6.259499999999999,2025-11-27
1445,大宇,11.5,17.55,13.969999999999999,14.1925,2025-11-27
1446,宏和,17.5,45.5,17.7,18.16,2025-11-27
1447,力鵬,5.29,7.36,5.321999999999999,5.4095,2025-11-27
1449,佳和,9.91,19.3,10.112,10.463000000000001,2025-11-27
1451,年興,16.3,22.5,17.29,17.110000000000003,2025-11-27
1452,宏益,11.15,15.3,11.67,11.6325,2025-11-27
1453,大將,12.05,18.1,12.17,12.3675,2025-11-27
1454,台富,12.95,17.35,13.069999999999999,13.135,2025-11-27
1455,集盛,7.65,10.4,7.739999999999999,7.848000000000001,2025-11-27
1456,怡華,11.0,17.2,12.51,12.3825,2025-11-27
1457,宜進,16.05,20.85,16.1,16.23,2025-11-27
1459,聯發,9.22,13.8,11.860000000000001,11.895,2025-11-27
1460,宏遠,5.51,7.81,5.678000000000001,5.630999999999999,2025-11-27
1463,強盛,16.95,31.1,18.77,17.939999999999998,2025-11-27
1464,得力,10.7,19.35,10.92,10.870000000000001,2025-11-27
1465,偉全,12.55,14.85,12.839999999999998,12.895,2025-11-27
1466,聚隆,12.45,19.2,14.580000000000002,14.977499999999997,2025-11-27
1467,南緯,6.96,10.65,6.981999999999999,7.059499999999998,2025-11-27
1468,昶和,11.3,14.7,11.41,11.457500000000003,2025-11-27
1471,首利,8.38,13.45,8.575999999999999,8.835,2025-11-27
1472,三洋實業,70.8,109.0,91.22000000000001,91.09,2025-11-27
1473,台南,24.1,38.25,24.37,25.660000000000004,2025-11-27
1474,弘裕,10.8,14.3,11.74,11.48,2025-11-27
1475,業旺,32.1,60.0,37.21,37.09000000000001,2025-11-27
1476,儒鴻,320.5,564.0,425.6,425.8,2025-11-27
1477,聚陽,226.5,389.5,306.1,291.95,2025-11-27
1503,士電,113.5,206.0,164.2,176.35,2025-11-27
1504,東元,44.55,119.5,91.34,103.06999999999998,2025-11-27
1506,正道,10.8,14.5,11.660000000000002,12.005,2025-11-27
1512,瑞利,5.66,9.98,7.715999999999999,7.768499999999999,2025-11-27
1513,中興電,106.5,171.5,150.6,149.25,2025-11-27
1514,亞力,77.4,118.5,96.16,102.49499999999998,2025-11-27
1515,力山,23.7,37.0,27.47,27.7875,2025-11-27
1516,川飛,13.9,22.2,19.380000000000003,17.51,2025-11-27
1517,利奇,9.86,14.65,11.27,11.624999999999998,2025-11-27
1519,華城,321.5,786.0,701.8,734.15,2025-11-27
1521,大億,21.4,29.65,24.31,24.620000000000005,2025-11-27
1522,堤維西,38.85,66.7,47.910000000000004,47.37749999999999,2025-11-27
1524,耿鼎,27.5,44.8,29.439999999999998,30.817500000000003,2025-11-27
1525,江申,58.0,70.8,64.58,63.175,2025-11-27
1526,日馳,15.6,26.15,16.77,17.415,2025-11-27
1527,鑽全,31.25,44.15,32.85,32.8425,2025-11-27
1528,恩德,11.2,21.65,14.669999999999998,14.495000000000001,2025-11-27
1529,樂事綠能,18.2,29.75,18.85,19.855,2025-11-27
1531,高林股,10.65,14.5,11.579999999999998,11.594999999999999,2025-11-27
1532,勤美,23.3,33.15,26.99,26.202499999999997,2025-11-27
1533,車王電,25.6,41.25,31.49,32.64750000000001,2025-11-27
1535,中宇,48.85,62.3,54.339999999999996,54.504999999999995,2025-11-27
1536,和大,47.25,88.7,57.05999999999999,58.11499999999999,2025-11-27
1537,廣隆,121.0,157.5,123.3,122.425,2025-11-27
1539,巨庭,15.95,25.2,16.889999999999997,17.0225,2025-11-27
1540,喬福,20.8,40.65,21.360000000000003,22.1625,2025-11-27
1541,錩泰,20.25,32.45,23.47,24.332500000000003,2025-11-27
1558,伸興,89.0,113.5,98.12,95.74499999999999,2025-11-27
1560,中砂,165.0,363.0,308.6,308.125,2025-11-27
1563,巧新,40.5,69.9,40.910000000000004,43.4175,2025-11-27
1568,倉佑,19.95,28.7,21.31,21.759999999999998,2025-11-27
1582,信錦,64.7,106.5,66.42,67.36499999999998,2025-11-27
1583,程泰,41.8,65.5,44.7,44.982499999999995,2025-11-27
1587,吉茂,22.65,44.15,42.760000000000005,41.627500000000005,2025-11-27
1589,永冠-KY,16.85,41.25,17.25,18.154999999999998,2025-11-27
1590,亞德客-KY,675.0,983.0,893.8,932.6,2025-11-27
1597,直得,61.2,113.5,71.4,73.43500000000002,2025-11-27
1598,岱宇,19.85,33.5,21.859999999999996,22.565000000000005,2025-11-27
1603,華電,25.75,41.6,37.489999999999995,38.0175,2025-11-27
1604,聲寶,24.35,28.65,24.58,24.627499999999994,2025-11-27
1605,華新,17.8,34.45,28.99,30.082500000000003,2025-11-27
1608,華榮,18.95,40.2,34.459999999999994,35.8275,2025-11-27
1609,大亞,29.1,45.45,38.36,39.89,2025-11-27
1611,中電,11.1,16.55,12.23,12.327499999999999,2025-11-27
1612,宏泰,26.8,40.45,34.879999999999995,36.69499999999999,2025-11-27
1614,三洋電,33.75,40.6,34.14,34.2825,2025-11-27
1615,大山,45.4,61.0,47.7,47.2525,2025-11-27
1617,榮星,13.55,20.5,14.190000000000001,14.872499999999999,2025-11-27
1618,合機,31.4,52.6,41.019999999999996,42.802499999999995,2025-11-27
1626,艾美特-KY,10.85,14.2,12.26,12.337500000000002,2025-11-27
1702,南僑,37.1,51.4,37.5,38.537499999999994,2025-11-27
1707,葡萄王,122.0,151.0,127.9,126.475,2025-11-27
1708,東鹼,29.1,42.9,31.880000000000003,31.240000000000002,2025-11-27
1709,和益,16.05,21.95,16.56,16.654999999999998,2025-11-27
1710,東聯,11.15,17.35,11.799999999999999,12.0075,2025-11-27
1711,永光,14.25,22.0,17.68,18.3625,2025-11-27
1712,興農,37.9,47.95,42.400000000000006,42.4825,2025-11-27
1713,國化,42.95,58.4,43.25,44.4825,2025-11-27
